Note Name,Parent Node,Category,Connections,Description
29 CFR Part 1630,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[EEOC]], [[ADA]], [[Planning Phase]]""","""ADA Employment Regulations regarding reasonable accommodations in training."""
29 CFR Part 1614,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[EEOC]], [[Federal Sector]], [[Planning Phase]]""","""Federal Sector Equal Employment Opportunity requirements."""
41 CFR 60-1.4,GOVERNANCE/LAW/FEDERAL REGULATION,Access & Non-Discrimination,"""[[Equal Opportunity]], [[Federal Contractors]]""","""Equal Opportunity Clause specifically for federal contractors."""
37 CFR Part 201,GOVERNANCE/LAW/FEDERAL REGULATION,Intellectual Property,"""[[Copyright Office]], [[Content Development]]""","""Regulations governing Copyright Office procedures and training materials."""
22 CFR Parts 120-130,GOVERNANCE/LAW/FEDERAL REGULATION,Intellectual Property,"""[[ITAR]], [[Defense]], [[Export Control]]""","""International Traffic in Arms Regulations for defense-related training."""
29 CFR 1910.1200,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[OSHA]], [[Chemical Safety]], [[HazCom]]""","""Hazard Communication Standard for chemical safety training."""
21 CFR Part 11,GOVERNANCE/LAW/FEDERAL REGULATION,Curriculum & Subject Matter,"""[[Pharmaceutical]], [[Electronic Records]]""","""Regulations for electronic records in pharmaceutical training systems."""
48 CFR (FAR),GOVERNANCE/LAW/FEDERAL REGULATION,Procurement & Contracting,"""[[FAR]], [[Acquisition]], [[Federal Contracts]]""","""Federal Acquisition Regulation covering the entire training procurement lifecycle."""
29 CFR 1910,GOVERNANCE/LAW/FEDERAL REGULATION,Workplace Safety,"""[[OSHA]], [[General Industry]], [[Implementation Phase]]""","""General Industry Standards for all applicable safety during training delivery."""
36 CFR Part 1194,GOVERNANCE/LAW/FEDERAL REGULATION,Technology & Accessibility,"""[[Section 508]], [[Accessibility]], [[VILT]]""","""Section 508 Standards for electronic training accessibility."""
29 CFR 1910.1030(h),GOVERNANCE/LAW/FEDERAL REGULATION,Record Retention,"""[[Bloodborne Pathogens]], [[Documentation]]""","""Requirement to retain bloodborne pathogens training records for 3 years."""
ANSI/IACET 2018-1,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[IACET]], [[Continuing Education]], [[Planning Phase]]""","""Standard for Continuing Education and Training providers."""
ISO 9001:2015 Clause 7.2,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Manufacturing & Quality,"""[[ISO]], [[Competence]], [[Quality Management]]""","""Specific competence requirements for quality management training."""
SCORM 1.2 / 2004,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[ADL]], [[Interoperability]], [[E-Learning]]""","""Sharable Content Object Reference Model for content packaging and sequencing."""
xAPI (Tin Can API),GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[ADL]], [[Learning Records]], [[LRS]]""","""Experience API activity stream-based learning record standard."""
